model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_auc_roc,accuracy,precision,recall,f1,auc_roc,confusion_matrix
svm_rbf,0.8743770355222298,0.8609597328296514,0.8941583860283047,0.8767690876673464,0.9330132601737539,0.9021739130434783,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9454806312769011,"[[70, 12], [6, 96]]"
xgboost,0.864523214420965,0.8612952924711588,0.869436916591388,0.8650700598007713,0.9360217991754677,0.8804347826086957,0.9,0.8823529411764706,0.8910891089108911,0.9350789096126255,"[[72, 10], [12, 90]]"
random_forest,0.8731803378020146,0.8615054121047058,0.889280337247817,0.8748165662765277,0.9419056062988614,0.8858695652173914,0.8932038834951457,0.9019607843137255,0.8975609756097561,0.9320899091343854,"[[71, 11], [10, 92]]"
logistic_regression,0.8436188744982202,0.8400412870476421,0.8497741644083107,0.8444978854248191,0.9272738763052926,0.8913043478260869,0.8796296296296297,0.9313725490196079,0.9047619047619048,0.9263510282161644,"[[69, 13], [7, 95]]"
